neighborhood,rec_id,year,population
A Mountain,WHITE,2019,1443
A Mountain,BLACK,2019,316
A Mountain,AMERIND,2019,227
A Mountain,ASIAN,2019,68
A Mountain,PACIFIC,2019,3
A Mountain,OTHRACE,2019,1236
A Mountain,RACE2UP,2019,155
A Mountain,HISPPOP,2019,2638
A Mountain,MINORITY,2019,3164
A Mountain,WHITE,2010,1451
A Mountain,BLACK,2010,318
A Mountain,AMERIND,2010,223
A Mountain,ASIAN,2010,62
A Mountain,PACIFIC,2010,3
A Mountain,OTHRACE,2010,1137
A Mountain,RACE2UP,2010,148
A Mountain,HISPPOP,2010,2465
A Mountain,MINORITY,2010,2990
A Mountain,DIVINDX,2010,87.6
A Mountain,HISPWHT,2019,1159
A Mountain,HISPBLK,2019,17
A Mountain,HISPAI,2019,114
A Mountain,HISPASN,2019,8
A Mountain,HISPPI,2019,0
A Mountain,HISPOTH,2019,1226
A Mountain,HISPMLT,2019,114
A Mountain,HWHITE,2010,1099
A Mountain,HBLACK,2010,16
A Mountain,HAMERIND,2010,108
A Mountain,HASIAN,2010,8
A Mountain,HPACIFIC,2010,0
A Mountain,HOTHRACE,2010,1125
A Mountain,HRACE2UP,2010,109
A Mountain,HRACEBAS,2010,2465
A Mountain,H1RACE,2010,2356
A Mountain,HADRBASE,2010,1546
A Mountain,HAD1RACE,2010,1486
A Mountain,U18RBASE,2010,1095
A Mountain,NONHISP,2019,810
Adelanto,WHITE,2019,123
Adelanto,BLACK,2019,43
Adelanto,AMERIND,2019,106
Adelanto,ASIAN,2019,5
Adelanto,PACIFIC,2019,0
Adelanto,OTHRACE,2019,92
Adelanto,RACE2UP,2019,20
Adelanto,HISPPOP,2019,218
Adelanto,MINORITY,2019,348
Adelanto,WHITE,2010,124
Adelanto,BLACK,2010,42
Adelanto,AMERIND,2010,103
Adelanto,ASIAN,2010,4
Adelanto,PACIFIC,2010,0
Adelanto,OTHRACE,2010,81
Adelanto,RACE2UP,2010,18
Adelanto,HISPPOP,2010,197
Adelanto,MINORITY,2010,324
Adelanto,DIVINDX,2010,90
Adelanto,HISPWHT,2019,82
Adelanto,HISPBLK,2019,3
Adelanto,HISPAI,2019,30
Adelanto,HISPASN,2019,0
Adelanto,HISPPI,2019,0
Adelanto,HISPOTH,2019,91
Adelanto,HISPMLT,2019,12
Adelanto,HWHITE,2010,75
Adelanto,HBLACK,2010,3
Adelanto,HAMERIND,2010,27
Adelanto,HASIAN,2010,0
Adelanto,HPACIFIC,2010,0
Adelanto,HOTHRACE,2010,81
Adelanto,HRACE2UP,2010,11
Adelanto,HRACEBAS,2010,197
Adelanto,H1RACE,2010,186
Adelanto,HADRBASE,2010,128
Adelanto,HAD1RACE,2010,123
Adelanto,U18RBASE,2010,137
Adelanto,NONHISP,2019,171
Alvernon Heights,WHITE,2019,186
Alvernon Heights,BLACK,2019,31
Alvernon Heights,AMERIND,2019,7
Alvernon Heights,ASIAN,2019,7
Alvernon Heights,PACIFIC,2019,1
Alvernon Heights,OTHRACE,2019,67
Alvernon Heights,RACE2UP,2019,21
Alvernon Heights,HISPPOP,2019,201
Alvernon Heights,MINORITY,2019,246
Alvernon Heights,WHITE,2010,185
Alvernon Heights,BLACK,2010,29
Alvernon Heights,AMERIND,2010,7
Alvernon Heights,ASIAN,2010,6
Alvernon Heights,PACIFIC,2010,1
Alvernon Heights,OTHRACE,2010,57
Alvernon Heights,RACE2UP,2010,19
Alvernon Heights,HISPPOP,2010,177
Alvernon Heights,MINORITY,2010,219
Alvernon Heights,DIVINDX,2010,80.5
Alvernon Heights,HISPWHT,2019,113
Alvernon Heights,HISPBLK,2019,4
Alvernon Heights,HISPAI,2019,2
Alvernon Heights,HISPASN,2019,2
Alvernon Heights,HISPPI,2019,0
Alvernon Heights,HISPOTH,2019,67
Alvernon Heights,HISPMLT,2019,13
Alvernon Heights,HWHITE,2010,100
